cod_cliente_maestro,canal,subcanal,sucursal,dia_visita,id_geografia_fk,fecha_inicio_validez,fecha_fin_validez
017-MONTES DIAGONAL,MAQUILAS,MAQUILAS,N.A.,N.A.,,2025-08-27,9999-12-31
10002,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10003,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10004,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10006,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10010,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10012,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10013,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10015,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10018,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10021,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100231,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100232,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100238,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100239,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10024,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100241,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
100243,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100246,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100251,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100253,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100254,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100255,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100257,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100258,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100260,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
100262,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10027,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10028,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10029,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10032,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10033,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10035,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1003776853,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10040,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10042,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10046,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10047,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10048,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1004804793,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004805058,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004819807,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004877816,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004879535,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004879604,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
2045,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1004911723,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004924643,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004925848,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004927031,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004966421,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004966959,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004997075,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1004998642,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
10050,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1005029105,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1005036976,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1005054441,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1005059759,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1005085080,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
10052,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10054,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10059,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1006,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10062,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1007,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10074,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10077,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1008,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10081,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10084,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10086,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10088,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10089,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10095,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10097,CHARCUTERIA,CHARCUTERIA,N.A.,N.A.,,2025-08-27,9999-12-31
101,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1010037248,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
10101,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10108,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10115,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10123,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10124,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
101258,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
