codigo_erp,referencia,categoria_gestion,subcategoria_1_gestion,subcategoria_2_gestion,descripcion_guia,clasificacion_py,equivalencia_py,peso_neto
00.02.00.001,00.02.00.001,OTROS,OTROS,OTROS,PORTATIL HP 15DW 1056 intel core i3-1011u Nucleo 2 DUAL CORE,N.A.,N.A.,0
00.02.00.002,00.02.00.002,OTROS,OTROS,OTROS,SERVICIO DE PARQUEADERO,N.A.,N.A.,0
00.02.00.003,00.02.00.003,N.A.,N.A.,N.A.,SERVICIO ALQUILER CANCHA SINTETICA,N.A.,N.A.,0
01.01.01,01.01.01,OTROS,OTROS,OTROS,DESCUENTOS COMERCIALES DE VENTA,N.A.,N.A.,0
01.01.01.001,01.01.01.001,SALSAS,BBQ,BBQ,STICKPACK 8 G BBQ NONA PEPA,ESTANDAR,01.01.01.001,800
01.01.01.002,01.01.01.002,SALSAS,MOSTAZA,MOSTAZA,STICKPACK 8 G MOSTAZA NONA PEPA,ESTANDAR,01.01.01.002,800
01.01.01.003,01.01.01.003,SALSAS,SALSA DE TOMATE,SALSA DE TOMATE,STICKPACK 8 G SALSA DE TOMATE NONA PEPA,ESTANDAR,01.01.01.003,800
01.01.01.004,01.01.01.004,SALSAS,MAYONESA,MAYONESA,STICKPACK 8 G MAYONESA PREMIUM NONA PEPA,PREMIUM,01.01.01.004,800
01.01.01.005,01.01.01.005,SALSAS SAZONADORAS,SOYA,SOYA,STICKPACK 8 G SOYA NONA PEPA,ESTANDAR,01.01.01.005,800
01.01.01.006,01.01.01.006,SALSAS SAZONADORAS,AJI,AJI,STICKPACK 8 G AJI NONA PEPA,ESTANDAR,01.01.01.006,800
01.01.01.007,01.01.01.007,SALSAS,SALSA ROSADA,SALSA ROSADA,STICKPACK 8 G ROSADA NONA PEPA,ESTANDAR,01.01.01.007,800
01.01.01.008,01.01.01.008,SALSAS,SALSA DE PIÑA,SALSA DE PIÑA,STICKPACK 8 G DULCE DE PIÑA NONA PEPA,ESTANDAR,01.01.01.008,800
0101001A00,CO01464A,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL PRIMAVERALX110MLX10DPX12U,N.A.,N.A.,1320
0101010A00,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL  PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B01,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(10%) SUAVITEL PRIMAVERALX180ML,N.A.,N.A.,180
0101010B02,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(7%) SUAVITEL  PRIMAVERALX180ML,N.A.,N.A.,180
0101010B03,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,P.E. SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B04,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(14%) SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B05,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(11%) SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B06,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONIF)  SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B07,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,BONIF SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B08,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(13%) SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B09,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(EX) SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B10,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(15%) SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B11,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(16.5%) SUAVITEL  PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B12,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(9%) SUAVITEL  PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B13,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(12%) SUAVITEL  PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B14,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA TAT) SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
0101010B17,61020296,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA MM) SUAVITEL PRIMAVERALX180MLX56U,N.A.,N.A.,180
