codigo_erp,cod_grupo_articulo_corregido
00.02.00.003,99.37.00
10.04.02.002,34.25.00
11.03.01.014,34.01.00
11.03.01.015,34.01.00
11.04.01,34.01.00
11.04.01.003,34.01.00
11.04.01.007,34.01.00
11.04.01.008,34.01.00
11.04.02.009,34.01.00
11.04.02.010,34.01.00
11.04.02.016,34.01.00
11.04.02.017,34.01.00
11.04.02.018,34.01.00
11.04.02.019,34.01.00
11.04.02.020,34.01.00
11.04.03,34.01.00
11.04.03.008,34.01.00
11.04.03.009,34.01.00
11.04.03.010,34.01.00
11.04.03.011,34.01.00
11.04.03.012,34.01.00
11.04.03.013,34.01.00
11.04.03.014,34.01.00
11.04.03.015,34.01.00
11.04.03.021,34.01.00
11.04.03.023,34.01.00
11.04.04,34.01.00
11.04.04.008,34.01.00
11.04.05,34.01.00
11.04.05.005,34.01.00
11.04.06,34.01.00
11.08.01.002,34.01.00
11.09.01.001,34.01.00
11.09.03.001,34.01.00
11.11.01.002,34.01.00
11.15.01.001,34.01.00
11.15.01.001,34.01.00
11.17.01.001,34.01.00
12.03.01.011,34.04.00
12.04.01.006,34.04.00
12.04.02,34.04.00
12.04.02.010,34.04.00
12.04.02.011,34.04.00
12.04.02.012,34.04.00
12.04.02.014,34.04.00
12.04.02.015,34.04.00
12.04.02.016,34.04.00
12.04.02.017,34.04.00
12.04.02.022,34.04.00
12.04.03.007,34.04.00
12.04.04,34.04.00
12.04.04.005,34.04.00
12.04.04.007,34.04.00
12.06.01.003,34.04.00
12.07.01.001,34.04.00
12.07.03,34.04.00
12.07.04,34.04.00
12.08.01.002,34.04.00
12.11.01.001,34.04.00
13.04.01.006,34.16.00
13.04.01.007,34.16.00
13.04.01.008,34.16.00
13.04.01.009,34.16.00
13.04.01.010,34.16.00
13.04.01.012,34.16.00
13.04.01.013,34.16.00
13.04.02.004,34.16.00
14.03.01.005,34.07.00
14.03.01.006,34.07.00
14.04.01.009,34.07.00
14.04.01.010,34.07.00
14.04.01.011,34.07.00
14.04.01.012,34.07.00
14.04.01.013,34.07.00
14.04.01.014,34.07.00
14.04.01.015,34.07.00
15.04.01,34.10.00
15.04.01.009,34.10.00
15.04.01.011,34.10.00
15.04.01.012,34.10.00
15.04.01.013,34.10.00
15.04.01.014,34.10.00
15.04.01.017,34.10.00
