codigo_erp,referencia,categoria_gestion,subcategoria_1_gestion,subcategoria_2_gestion,descripcion_guia,clasificacion_py,equivalencia_py,peso_neto
70.09.02.019,70.09.02.019,,,,ARTES/ARTES COIMPRESION X2 *4000 MOSTAZA ECONOMICA-MAYONESA PREMIUM NONA PEPA ALICO 814947,,,
11.06.01.004,11.06.01.004,,,,MAYONESA 3200 G BAND *4 PREMIUM LOS PINOS (PROMOCIONAL),,,
044073016,00011,,,,P10 LL11 PAPEL ALUM TUC DOMES CAJAX16MTX11U,,,
003130001,1130113634,,,,TALLARIN ESPECIALIDADESX500GRX24UN P.E,,,
071408005,071408005,,,,LIMPIDO REG.M/USOSX460MLX24U BONIF,,,
029403029,CO01606A,,,,(8.0%) MM CDC TRIPLE ACCIONX60MLX144U (PLM),,,
2237021A00,1000140718,,,,FIDEO FINO PREMIUMX250GX24U,,,
60.02.01.002,60.02.01.002,,,,ENVASE VIDRIO GOURMET 450 OUTBORDERS,,,
074001013,1200,,,,COLADO MANZANA HEINZ FLEX 113GX24U P.E,,,
4004008B01,81000169,,,,BONIF SUPREMO LAVALOZA LIMÓN 450GX12IT CON ESPONJA,,,
029067009,CO01446A,,,,SUAVITEL AROMA INT PRIM 50MLX22DPX12U,,,
0029999050,0029999050,,,,DEVELOPMENT INICIATIVES,,,
60.01.03.001,60.01.03.001,,,,BOLSA TRANSPARENTE 250 DOYPACK ALICO NTS,,,
2801117A00,12471811,,,,P3 LL4 FELIX SENSACIONES X85GRX4OF,,,
044034001,00500003,,,,VASO RUMBA DOM PET NATX5OZX50PX12U,,,
052336,12230553,,,,PROPLAN  ADULTO CATX1.5KGX8U,,,
19.01.02.021,19.01.02.021,,,,ACEITE 20 L SOYA JP BIDON,,,
052068043,052068043,,,,TAT MM 4 DOG CHOW SURT X475G +2 DOG CHOW 350G GTS 01 GATSY 250,,,
00.00.01.038,00.00.01.038,,,,UTILES DE ASEO Y CAFETERIA GASTO EXCENTO,,,
029200004,029200004,,,,TAT2 -  P5 LL6 JABON PALMOLIVE SURT 120GR,,,
076901,076901,,,,GALLETA NAVIDAD NOEL CARAVANA 150GRX12U BONIF,,,
029109048,CO02099A,,,,(18.20%) AXION CREMA CARBON 850GR X12U,,,
074105002,2212,,,,MANI PLANTERS HONEY R/PEANUTS 28GRX6DPX10U (FC),,,
016574,310004881,,,,TRULULU AROS RISTRAX24RX6U,,,
069520,61806,,,,ESPONJILLON TOPX6PX36U E.I.,,,
61.01.08.001,61.01.08.001,,,,MATERIAL DE  PELICULA,,,
60.04.02.004,60.04.02.004,,,,TAPA ENVASE BOCON 500 GR ROSCA CORRIDA SUPPLIES,,,
069219,5320,,,,TAT DETERGENTE AS BICAR/MANZX1000GX20U,,,
3404009B02,120402001,,,,PG 3 LL 4 TOMATE 250 G CLA NONA PEPA DOYPACK,,,
052430,12255295,,,,EXCELENTE DOG PUPPY CHICKENRICE 3KGX6U,,,
071066004,442596,,,,IBUPROFENO MKX400MGX1DPX100TAB,,,
052999071,052999071,,,,COMBOS PRO PLAN 10KG OCTUBRE,,,
052973008,12312815,,,,CAT CHOW GATOS CASTRADOS X3KX6U BONIF,,,
052039900,12434380,,,,FELIX CLASSIC CON PAVOX85GRX15U BONIF,,,
029142,CO02062A,,,,AJAX CITRONELLAX2000CCX6U,,,
12.03.01.005,12.03.01.005,,,,TOMATE 90 G DISPLAY *12 CLASICA LA HUERTA SACHET,,,
029083017,CO01455B,,,,(12%) SUAVITEL PRIMAVERALX430X24U,,,
60.01.04.075,60.01.04.075,,,,COIMPRESION MOVIL BBQ-MOSTAZA NAPOLI 250G-PIÑA PEPA 250G D12065,,,
0029990003,0029990003,,,,TV CHALLENGER LED 32 PULG,,,
11.04.02.004,11.04.02.004,,,,MAYONESA 50 G DISPLAY *12 GOURMET NONA PEPA SACHET,,,
052440003,12363795,,,,EXCELLENT PUPPY SMALL BREED 1KGX8U,,,
071090029,071090029,,,,TAT 3% SAL FRUT LUAX22+KOLAX6+IBFMGX14GTS 1 CREMA DENTAL 22ML,,,
60.03.04.074,60.03.04.074,,,,CAJA REF ME0747 CORRUGADO LECHE CONDESADA 4800 G,,,
80.01.03.020,80.01.03.020,,,,YOGURT GRIEGO FRESA SEMILLAS CHIA 150,,,
0106125B08,61030382,,,,(P.E MM CAJA) FABULOSO BEBEX180MLX72U,,,
003682,024000017868,,,,TOMAT ALBAH AJO Y OREG DEL MONTE 411GRX12U,,,
18.04.01.009,18.04.01.009,,,,MARGARINA 250 GR NONA PEPA,,,
029351051,FCO47018A,,,,(P.E) TAT SS 24/7COOLNIGHT GELX10GRX24DX16S +2COJ,,,
80.01.04.002,80.01.04.002,,,,AREQUIE VASO 500 PROLECHE,,,
029951,CO01451A,,,,SOF SUAVITEL PRIMAVRALX50MLX1U BONIF,,,
029205021,MX06460A,,,,JAB.PALM PITAHAYAX120GRX24DPX3U,,,
018846900,471000329,,,,BONIF LIMPIA YA MULT/USOS DPACKX760MLX12U,,,
074015011,2105,,,,P1 LL3 KETCHUP HEINZ DPACK 200GX8OF,,,
1690001B01,1690001B01,,,,BIANCHI BOMBON+COOKIES+SACKS+COCO GTS ,,,
052048,12377712,,,,P3 LL4 FELIX SENSACIONES X85GRX6OF,,,
029144006,61015215,,,,(20%) TAT AJAX BICAR/NARNJ LIMONX500CCX24U,,,
052304003,12359330,,,,FANCY FEAST CHUNKY X85GX24U,,,
069907,11600,,,,BARRA TOP COMBI FLORAL X250GX25U BONIF,,,
044202,00011,,,,CONTENEDOR DOM. BISAGRA J1 GRANX1PX200U,,,
11.04.03.025,11.04.03.025,,,,MAYONESA PREMIUM 3600 GR MR FOODS *4UND,,,
240201012,240201012,,,,COMBO - MAYONESA GOURMET 400 + GRATIS SALSA LIQUIDA 165ML LA HUERTA,,,
003638,190901006,,,,(3%)ACEITE DE SOYA NAPOLY 760MLX12U,,,
4001010B01,81000075,,,,CB PG 12 LL 13 SUPREMO 300GR + 40GR GTS,,,
019020,05184,,,,PLAY TROLLI SURT (ANAC-MORG-EMOC-TES)X1DPX24U,,,
19.03.02.012,19.03.02.012,,,,ACEITE 20 L SOYA LA HUERTA BIDON,,,
3428057B01,200103004,,,,3% P.E GLASSE FRUIT MORA 5000 G BALDE X1UND,,,
029196006,61009677,,,,(13.70%) MM JABON PALM CARBONX120GRX72U,,,
029403072,CDC15+2,,,,PPK TAT -  P16 LL18 CDC TRIPLE ACCIONX60ML,,,
029181005,61023854,,,,(MM) FABULOSO BEBEX1000CCX12U (PLM),,,
90.01.01.004,90.01.01.004,,,,CERVECERO POPULAR ESPECIAL X 1000,,,
00.00.01.014,00.00.01.014,,,,SERVICIO DE ENERGIA- ADMINISTRACION,,,
052999102,052999102,,,,BALON INFLABLE GATSY ROJO,,,
075257003,03080011,,,,P.E BULTO ARVEJA VERDE SOBERANA 500GRX25U,,,
19.05.02.002,19.05.02.002,,,,ACEITE 50 ML RISTRA *12 SOYA NONA PEPA SACHET,,,
70.20.01.004,70.20.01.004,,,,ETIQUETA DE ACEITE OLIVA CANOLA *1000 NAPOLI FRENTE,,,
12.05.01.005,12.05.01.005,,,,N/A,,,
052028005,12241960,,,,(MAY) GATSY PESCADO ARROZ ESPINACX17KGX1BT,,,
003480002,1030053104,,,,(P.E) GRANOLA GRANNY TROPICAL X300GX12U,,,
074009021,4PACK,,,,FOURPACK COLADO HEINZ SURT 113GX6OF P.E,,,
071256020,071256020,,,,TAT OFERTA LUNES FESTIVO,,,
029188055,029188055,,,,PPACK MM EFECTIVIDAD PLAN FACTURA - AGOSTO 2022,,,
70.01.13.001,70.01.13.001,,,,ETIQUETA MAYONESA  450GR NAPOLI,,,
052047001,12471593,,,,P3 LL4 FELIX GATITOS CARNE X85GRX4OF,,,
3425001A00,500402002,,,,ACEITE DE PALMA GRANEL - OLEINA,,,
70.13.02.002,70.13.02.002,,,,ETIQUETA SALSA BBQ NORSAN 170 GR FLEXOLABEL SAS,,,
018764002,482010514,,,,(P.E) MALLA ESPONJA LIMPIA YAX48UX1U,,,
074002013,1002,,,,(FC) COLADO PERA HEINZ 113GX24U P.E,,,
1337001B02,300698,,,,PG 2 ESPONJILLA  BON BRILX6U GTS 2 LIMPIDO REG 460ML,,,
11.06.01.001,11.06.01.001,,,,MAYONESA 3200 G BAND *4 PREMIUM LOS PINOS,,,
073003,1003070,,,,AJO EN POLVO BADIA 28.35GRX12U,,,
071090026,071090026,,,,TAT SAL FRUT LUAX22+KOLAX6+IBFMX14 GTS 2 LIMPIDO REGULAR460ML,,,
052346001,12321051,,,,PRO PLAN CAT KITTEN X1KG P3 LL4,,,
029188060,029188060,,,,PPACK POB EFECTIVIDAD AXION - FEBRERO 2022,,,
029185019,029185019,,,,PPK 8 TAT- P11 LL13 FABULOSO DPACKX200CC + 03 SACHET 40ML,,,
4001009B11,81000006,,,,TAT PG 6 SUPREMO 300 GTS 1 LAVALOZA 150,,,
052055903,12400319,,,,DOG CHOW ADUL R/PEQ XLIFEX350GX24U BONIF,,,
052456,12363885,,,,EXCELENTE ADULT SMALL BREED 1KGX8U,,,
029178001,61023853,,,,FABULOSO MAR FRESCOX1000CCX12U,,,
2813297B03,2813297B03,,,,PG 3 LL 4 DOG CHOW TRIPLE PROTEINA X2KG,,,
00.00.01.023,00.00.01.023,,,,CAPACITACION,,,
3410003B03,150401012,,,,MOSTAZA 90 G CLASICA NONA PEPA SACHET X 130UND,,,
052963,95621,,,,EXHIBIDOR DISPLAY POUCHES DOG CHOW - FELIX,,,
016350,310004790,,,,BIANCHI NUGGETS HOJUELASX12DX48G,,,
003902,123,,,,CONCHA PREMIUMX250GX24U BONIF TAT (P5 LL6),,,
029067107,61002715,,,,(13.80%) SUAVITEL COMPLETE LAVANDAX180MLX48U,,,
019917,02978,,,,ALDOR FRESAX16DX100U BONIF,,,
073002001,1003402,,,,ADOBO C/PIMIENTA BADIA 198.4GRX12U P.E,,,
016217,310004490,,,,TRULULU GUSANOS X12DX90GR,,,
069220002,63218,,,,DETERGENTE AS BICAR/CANELAX1000GX20U P.E,,,
052082022,12311141,,,,DOG CHOW ABRAZZOS MIX FRUTASX75GX24U,,,
003254004,738,,,,P24 LL29 MACARRONCITO PREMIUMX250G,,,
70.04.01.001,70.04.01.001,,,,ETIQUETA ROSADA 200 CLASICA DOÑA PEPA,,,
029207012,MX02785A,,,,(TPR) JAB LIQ PALM POMEGRANATE DPACKX500MLX12U,,,
019097,PPK CLICK,,,,PPACK CLICK (DURO SRT+MAST MENTA) GTS MAST SURT,,,
19.04.02.003,19.04.02.003,,,,ACEITE 20 LT SOYA DON PEPE BIDON,,,
074011004,2101,,,,P6 LL7 CAJAS KETCHUP HEINZ DPACK 397G,,,
052069060,12291283,,,,CAT CHOW GATICOS DEFENSE 8KG,,,
071317,633950,,,,CLOROX M/FLORALX530MLX24U $1.100,,,
3416011B02,130401006,,,,PG 4 LL 5 PIÑA 390 G PREMIUM PET NONA PEPA,,,
073034,1003039,,,,PIMIENTA ROJA TRITURADA BADIA 14.2GRX12U,,,
071151006,86693,,,,DES YODORA TUBOX8U+M/ROLONX2U+TALCO60G,,,
052445003,12365241,,,,EXCELLENT PUPPY R/MED GDE 1KGX8U,,,
029364016,FMX03025,,,,DES LSS BARRA FLORAL FRESHX20GX48U,,,
029219009,CO01136A,,,,(15%) JABON PROTEX OMEGA3X110GRX24DPX3U,,,
0029999019,0029999019,,,,CONVENIO PRESTACION DE SERVICIO MES OCTUBRE,,,
071280900,634946,,,,LIMPIDO REG.M/USOSX460MLX24U BONIF,,,
70.10.06.001,70.10.06.001,,,,ETIQUETA DE ACEITE DE SOYA NAPOLI 110 ML,,,
029109003,CO01489A,,,,AXION CREMA ANTIADHERENTEX450GX24U,,,
70.10.01.004,70.10.01.004,,,,ETIQUETA ACEITE 900 PALMA DOÑA PEPA,,,
029408014,CO00294B,,,,(EMP) CDC TRIPLE ACCX100CCX72U,,,
052951,12361149,,,,BEGGIN STRIPS BACON BEEF 6OZX6U BONIF,,,
071228048,071228048,,,,MM PÑ WINNY ULT ET4+YODORA CREMA12GR+TOA+LIMPIDO R/COLOR450ML+GTSLIMPIDO R/USOS460ML,,,
029220091,CO01850A,,,,(7.80%) JABON PROTEX LIMP PROFUNDA X120GX72U,,,
052068036,12399251,,,,(10%) DOG CHOW CACH. R/PEQ XLIFEX17KGX1BT,,,
029221036,61024805,,,,TAT JABON PROTEX CARBON DETOX X110GX72U,,,
20.03.03.003,20.03.03.003,,,,GLASSE SONRISAS YERMAN MORA 5000 GRS,,,
074040,5204,,,,MOSTAZA HEINZ DPACK 200GX24U,,,
0425009B05,471000267,,,,MM PG 8 SUAVIZANTE PRIMAVERAL LIMPIA YA 1000ML GTS 3 LAVALOZA LIQ LIMON 500ML,,,
052918,11051920,,,,FANCY FEAST TERRINE PAVO X85GX24U BONIF,,,
1690001B05,1690001B05,,,,BIANCHI CHOCOLATEX18DX100U GTS 1 TRULULU FRESITAS,,,
029068071,61020299,,,,POB MM SUAVITEL ORQUIDEA LAVANDA X180MLX56U,,,
61.01.17.001,61.01.17.001,,,,MATERIAL PET ACEITE,,,
016308002,310005876,,,,BIANCHI SNACKS MALTEADA 24DX60G,,,
11.04.03.006,11.04.03.006,,,,MAYONESA 400 G PREMIUM NONA PEPA BONIF,,,
2813017A00,12399250,,,,DOG CHOW CACH. R/PEQ XLIFE X4KGX6U,,,
70.09.02.007*,70.09.02.007*,,,,ETIQUETA ACEITE 250 SOYA LA HUERTA,,,
037005006,4949,,,,OF P. AA ENERGX1RX10U GTS 2PAA CRB+SUAV 210,,,
1610268B01,210005160,,,,SURTIDO MULTIMARCA + CHAO XTREME ORIGINAL GTS TRULULU DINOS + TRULULU ORO VEGGIE + TRULULU FRESITAS,,,
003053006,1020255263,,,,PASTA TORNILLO GRANNY X1000GX12U P.E,,,
016112002,310003258,,,,OKA LOKA OVNIS FRUTASX12DX12U,,,
70.10.01.001,70.10.01.001,,,,ETIQUETA ACEITE 110 PALMA DOÑA PEPA,,,
018002,018002,,,,BONIF ETERNA COMPRAS  $ 15.000 (ABRIL),,,
069303,60608,,,,BARRA TOP COMBI LIMON X250GX25U,,,
3401009B05,110402001,,,,3 MAYONESA GOURMET 200G (10%),,,
074923,2123,,,,KETCHUP HEINZ DPACK 190GX24U BONIF,,,
70.11.02.002,70.11.02.002,,,,ETIQUETA  GLASSES 1000 DURAZNO,,,
